time_ms,ref_speed,actual_speed,pwm_value
8285,50.00,45.71,171.43
8295,50.00,48.57,57.14
8306,50.00,45.71,171.43
8318,50.00,45.71,171.43
8328,50.00,48.57,57.14
8339,50.00,45.71,171.43
8352,50.00,45.71,171.43
8362,50.00,48.57,57.14
8374,50.00,45.71,171.43
8384,50.00,45.71,171.43
8395,50.00,45.71,171.43
8407,50.00,48.57,57.14
8417,50.00,45.71,171.43
8428,50.00,45.71,171.43
8439,50.00,45.71,171.43
8452,50.00,45.71,171.43
8463,50.00,48.57,57.14
8473,50.00,45.71,171.43
8484,50.00,45.71,171.43
8495,50.00,45.71,171.43
8506,50.00,48.57,57.14
8517,50.00,45.71,171.43
8529,50.00,45.71,171.43
8539,50.00,45.71,171.43
8552,50.00,45.71,171.43
8562,50.00,45.71,171.43
8573,50.00,48.57,57.14
8584,50.00,45.71,171.43
8596,50.00,45.71,171.43
8606,50.00,48.57,57.14
8617,50.00,45.71,171.43
8629,50.00,45.71,171.43
8639,50.00,45.71,171.43
8651,50.00,45.71,171.43
8663,50.00,45.71,171.43
8673,50.00,48.57,57.14
8684,50.00,45.71,171.43
8695,50.00,45.71,171.43
8706,50.00,48.57,57.14
8717,50.00,45.71,171.43
8728,50.00,45.71,171.43
8741,50.00,48.57,57.14
8752,50.00,45.71,171.43
8763,50.00,45.71,171.43
8774,50.00,48.57,57.14
8784,50.00,45.71,171.43
8795,50.00,45.71,171.43
8807,50.00,48.57,57.14
8817,50.00,45.71,171.43
8829,50.00,45.71,171.43
8840,50.00,48.57,57.14
8851,50.00,45.71,171.43
8862,50.00,45.71,171.43
8874,50.00,45.71,171.43
8884,50.00,48.57,57.14
8895,50.00,45.71,171.43
8906,50.00,48.57,57.14
8917,50.00,45.71,171.43
8928,50.00,45.71,171.43
8940,50.00,45.71,171.43
8951,50.00,48.57,57.14
8962,50.00,45.71,171.43
8974,50.00,48.57,57.14
8984,50.00,45.71,171.43
8996,50.00,45.71,171.43
9007,50.00,45.71,171.43
9017,50.00,48.57,57.14
9028,50.00,45.71,171.43
9040,50.00,45.71,171.43
9052,50.00,48.57,57.14
9062,50.00,45.71,171.43
9074,50.00,45.71,171.43
9084,50.00,48.57,57.14
9096,50.00,45.71,171.43
9106,50.00,45.71,171.43
9117,50.00,48.57,57.14
9129,50.00,45.71,171.43
9141,50.00,45.71,171.43
9151,50.00,48.57,57.14
9162,50.00,45.71,171.43
9174,50.00,45.71,171.43
9184,50.00,48.57,57.14
9195,50.00,45.71,171.43
9206,50.00,45.71,171.43
9217,50.00,45.71,171.43
9228,50.00,48.57,57.14
9240,50.00,45.71,171.43
9251,50.00,48.57,57.14
9262,50.00,45.71,171.43
9274,50.00,45.71,171.43
9285,50.00,45.71,171.43
9295,50.00,48.57,57.14
9306,50.00,45.71,171.43
9318,50.00,45.71,171.43
9328,50.00,48.57,57.14
9339,50.00,45.71,171.43
9352,50.00,45.71,171.43
9363,50.00,48.57,57.14
9374,50.00,45.71,171.43
9385,50.00,45.71,171.43
9395,50.00,45.71,171.43
9406,50.00,48.57,57.14
9417,50.00,45.71,171.43
9428,50.00,45.71,171.43
9440,50.00,45.71,171.43
9451,50.00,45.71,171.43
9463,50.00,45.71,171.43
9473,50.00,48.57,57.14
9484,50.00,45.71,171.43
9496,50.00,45.71,171.43
9506,50.00,48.57,57.14
9517,50.00,45.71,171.43
9528,50.00,45.71,171.43
9540,50.00,48.57,57.14
9552,50.00,45.71,171.43
9563,50.00,45.71,171.43
9574,50.00,45.71,171.43
9585,50.00,48.57,57.14
9595,50.00,45.71,171.43
9606,50.00,45.71,171.43
9617,50.00,48.57,57.14
9629,50.00,45.71,171.43
9641,50.00,45.71,171.43
9651,50.00,48.57,57.14
9662,50.00,45.71,171.43
9673,50.00,45.71,171.43
9684,50.00,45.71,171.43
9696,50.00,48.57,57.14
9707,50.00,45.71,171.43
9717,50.00,45.71,171.43
9729,50.00,48.57,57.14
9740,50.00,45.71,171.43
9752,50.00,45.71,171.43
9762,50.00,48.57,57.14
9773,50.00,45.71,171.43
9785,50.00,45.71,171.43
9796,50.00,48.57,57.14
9806,50.00,45.71,171.43
9818,50.00,45.71,171.43
9828,50.00,45.71,171.43
9839,50.00,45.71,171.43
9852,50.00,45.71,171.43
9862,50.00,45.71,171.43
9873,50.00,48.57,57.14
9884,50.00,45.71,171.43
9895,50.00,45.71,171.43
9906,50.00,48.57,57.14
9917,50.00,45.71,171.43
9928,50.00,45.71,171.43
9940,50.00,48.57,57.14
9951,50.00,45.71,171.43
9963,50.00,45.71,171.43
9973,50.00,45.71,171.43
9985,50.00,48.57,57.14
9995,50.00,45.71,171.43
10007,50.00,45.71,171.43
10017,50.00,48.57,57.14
10029,50.00,45.71,171.43
10041,50.00,45.71,171.43
10052,50.00,48.57,57.14
10063,50.00,45.71,171.43
10073,50.00,45.71,171.43
10085,50.00,48.57,57.14
10095,50.00,45.71,171.43
10106,50.00,45.71,171.43
10117,50.00,45.71,171.43
10128,50.00,48.57,57.14
10140,50.00,45.71,171.43
10152,50.00,45.71,171.43
10163,50.00,48.57,57.14
10173,50.00,45.71,171.43
10184,50.00,45.71,171.43
10196,50.00,48.57,57.14
10206,50.00,45.71,171.43
10218,50.00,45.71,171.43
10228,50.00,45.71,171.43
10241,50.00,48.57,57.14
10252,50.00,45.71,171.43
10263,50.00,48.57,57.14
10274,50.00,45.71,171.43
10285,50.00,45.71,171.43
10295,50.00,45.71,171.43
10306,50.00,45.71,171.43
10317,50.00,48.57,57.14
10329,50.00,45.71,171.43
10340,50.00,48.57,57.14
10352,50.00,45.71,171.43
10363,50.00,45.71,171.43
10374,50.00,45.71,171.43
10385,50.00,48.57,57.14
10395,50.00,45.71,171.43
10407,50.00,45.71,171.43
10417,50.00,45.71,171.43
10429,50.00,48.57,57.14
10440,50.00,48.57,57.14
10450,50.00,45.71,171.43
10462,50.00,45.71,171.43
10473,50.00,45.71,171.43
10484,50.00,45.71,171.43
10494,50.00,48.57,57.14
10505,50.00,45.71,171.43
10516,50.00,45.71,171.43
10527,50.00,45.71,171.43
10538,50.00,48.57,57.14
10550,50.00,45.71,171.43
10562,50.00,48.57,57.14
10572,50.00,45.71,171.43
10583,50.00,45.71,171.43
10594,50.00,45.71,171.43
